Bits,InputPower,OutputPower,DelayBit,OutputPowerWithoutDelay,,
7.171875,9.99E-07,1.43E-06,,1.19E-08,,
7.1875,9.99E-07,1.57E-06,,8.79E-09,,
7.203125,9.99E-07,1.61E-06,,9.50E-09,,
7.21875,9.99E-07,1.61E-06,,9.13E-09,,
7.234375,9.99E-07,1.84E-06,,1.04E-08,,
7.25,9.99E-07,2.25E-06,,5.87E-09,,
7.265625,9.99E-07,2.49E-06,,1.21E-08,,
7.28125,9.99E-07,2.11E-06,,1.04E-08,,
7.296875,9.99E-07,1.57E-06,,5.67E-09,,
7.3125,9.99E-07,1.24E-06,,1.30E-08,,
7.328125,9.99E-07,1.02E-06,,1.12E-08,,
7.34375,9.99E-07,9.56E-07,,7.56E-09,,
7.359375,9.99E-07,1.03E-06,,9.46E-09,,
7.375,9.99E-07,1.08E-06,,1.44E-08,,
7.390625,9.99E-07,1.12E-06,,7.74E-09,,
7.40625,9.99E-07,1.16E-06,,7.19E-09,,
7.421875,9.99E-07,1.24E-06,,1.24E-08,,
7.4375,9.99E-07,1.34E-06,,9.06E-09,,
